No,long,lat,group,order,region,subregion,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA
80,-88.20685577,34.06233978,1,80,alabama,NA,-9,-9,1,-9,-9,-9,-9
81,-88.20685577,34.07952881,1,81,alabama,NA,-9,-9,1,-9,-9,-9,-9
82,-88.18393707,34.31444168,1,82,alabama,NA,-9,-9,1,-9,-9,-9,-9
83,-88.16674805,34.46340942,1,83,alabama,NA,-9,-9,1,-9,-9,-9,-9
84,-88.14955139,34.5837326,1,84,alabama,NA,-9,-9,1,-9,-9,-9,-9
85,-88.10944366,34.89885712,1,85,alabama,NA,-9,-9,1,-9,-9,-9,-9
86,-88.13237,34.90459061,1,86,alabama,NA,-9,-9,1,-9,-9,-9,-9
87,-88.16674805,34.95042801,1,87,alabama,NA,-9,-9,1,-9,-9,-9,-9
88,-88.18965912,34.99626541,1,88,alabama,NA,-9,-9,1,-9,-9,-9,-9
89,-88.18393707,35.01345062,1,89,alabama,NA,-9,-9,1,-9,-9,-9,-9
90,-87.98912811,35.01345062,1,90,alabama,NA,-9,-9,1,-9,-9,-9,-9
91,-87.6052475,35.00772095,1,91,alabama,NA,-9,-9,1,-9,-9,-9,-9
92,-87.22709656,35.00199127,1,92,alabama,NA,-9,-9,1,-9,-9,-9,-9
93,-87.20417023,35.00199127,1,93,alabama,NA,-9,-9,1,-9,-9,-9,-9
94,-86.82602692,34.99626541,1,94,alabama,NA,-9,-9,1,-9,-9,-9,-9
95,-86.78018951,34.99053192,1,95,alabama,NA,-9,-9,1,-9,-9,-9,-9
96,-86.31036377,34.99053192,1,96,alabama,NA,-9,-9,1,-9,-9,-9,-9
97,-85.85199738,34.98480225,1,97,alabama,NA,-9,-9,1,-9,-9,-9,-9
98,-85.61135101,34.97907257,1,98,alabama,NA,-9,-9,1,-9,-9,-9,-9
99,-85.58843994,34.84156418,1,99,alabama,NA,-9,-9,1,-9,-9,-9,-9
100,-85.54260254,34.61811066,1,100,alabama,NA,-9,-9,1,-9,-9,-9,-9
101,-85.52540588,34.5837326,1,101,alabama,NA,-9,-9,1,-9,-9,-9,-9
102,-85.46811676,34.2628746,1,102,alabama,NA,-9,-9,1,-9,-9,-9,-9
103,-85.42800903,34.07952881,1,103,alabama,NA,-9,-9,1,-9,-9,-9,-9
104,-85.40509033,33.95920944,1,104,alabama,NA,-9,-9,1,-9,-9,-9,-9
105,-85.39363098,33.90764236,1,105,alabama,NA,-9,-9,1,-9,-9,-9,-9
