HOUSEID,HHSTATE
30003073,ID
30003073,ID
30003073,ID
30003073,ID
30003105,NC
30003105,NC
30003120,NC
30003125,CA
30003127,NY
30003131,CA
30003133,CA
30003145,MD
30003145,MD
30003151,NC
30003153,GA
30003153,GA
30003153,GA
30003158,NY
30003158,NY
30003171,NY
30003171,NY
30003188,IL
30003209,NY
30003209,NY
30003215,DE
30003232,TN
30003232,TN
30003232,TN
30003232,TN
30003232,TN
30003232,TN
30003232,TN
30003232,TN
30003247,CA
30003247,CA
30003254,FL
30003254,FL
30003261,MT
30003261,MT
30003267,TX
30003267,TX
30003274,MA
30003284,WI
30003284,WI
30003284,WI
30003297,CA
30003306,CA
30003306,CA
30003312,TX
30003312,TX
30003312,TX
30003314,WI
30003314,WI
30003314,WI
30003314,WI
30003329,WY
30003329,WY
30003329,WY
30003329,WY
30003349,WI
30003349,WI
30003350,NC
30003350,NC
30003365,TX
30003365,TX
30003365,TX
30003365,TX
30003372,CO
30003372,CO
30003382,SC
30003385,TX
30003385,TX
30003385,TX
30003393,NY
30003393,NY
30003393,NY
30003402,CA
30003402,CA
30003410,WI
30003412,TX
30003412,TX
30003412,TX
30003425,NY
30003425,NY
30003437,CA
30003444,CA
30003444,CA
30003445,NY
30003457,WI
30003462,TX
30003462,TX
30003463,TX
30003463,TX
30003489,NY
30003499,NY
30003499,NY
30003515,SC
30003515,SC
30003523,SC
30003527,WI
30003527,WI
30003531,TX
30003531,TX
30003557,CA
30003562,CA
30003562,CA
30003562,CA
30003573,MN
30003573,MN
30003573,MN
30003573,MN
30003573,MN
30003573,MN
30003574,TX
30003574,TX
30003577,CA
30003577,CA
30003594,NY
30003594,NY
30003607,GA
30003624,NY
30003624,NY
30003630,CA
30003630,CA
30003631,NC
30003650,CA
30003653,NY
30003653,NY
30003660,GA
30003660,GA
30003660,GA
30003660,GA
30003663,TX
30003663,TX
30003671,WI
30003671,WI
30003672,NY
30003672,NY
30003675,NC
30003675,NC
30003676,TX
30003680,NH
30003680,NH
30003680,NH
30003703,CA
30003703,CA
30003718,GA
30003718,GA
30003725,CA
30003725,CA
30003731,IA
30003731,IA
30003731,IA
30003731,IA
30003745,TX
30003754,WI
30003754,WI
30003761,TX
30003761,TX
30003761,TX
30003761,TX
30003763,ID
30003770,CA
30003770,CA
30003770,CA
30003770,CA
30003770,CA
30003770,CA
30003770,CA
30003777,MD
30003777,MD
30003786,CO
30003792,GA
30003792,GA
30003798,CA
30003798,CA
30003798,CA
30003798,CA
30003810,CA
30003815,TX
30003815,TX
30003815,TX
30003815,TX
30003823,NC
30003823,NC
30003837,CA
30003850,IA
30003850,IA
30003854,WI
30003864,IN
30003864,IN
30003864,IN
30003877,IA
30003879,CA
30003894,CA
30003901,NY
30003901,NY
30003904,WA
30003907,PA
30003907,PA
30003926,NC
30003930,TX
30003940,CA
30003958,WI
30003958,WI
30003967,NY
30003980,CA
30003985,CA
30003985,CA
30003993,NY
30003993,NY
30004003,CA
30004003,CA
30004017,NC
30004017,NC
30004023,NC
30004024,CA
30004024,CA
30004031,NC
30004031,NC
30004034,CA
30004034,CA
30004045,TX
30004056,NY
30004062,AL
30004064,TX
30004064,TX
30004064,TX
30004079,NY
30004085,CA
30004085,CA
30004086,CO
30004086,CO
30004086,CO
30004086,CO
30004090,TX
30004090,TX
30004102,WI
30004102,WI
30004103,WI
30004103,WI
30004103,WI
30004103,WI
30004103,WI
30004110,TX
30004110,TX
30004116,NY
30004116,NY
30004117,TX
30004117,TX
30004121,SC
30004121,SC
30004131,CA
30004131,CA
30004133,NC
30004134,CA
30004134,CA
30004142,NY
30004143,TX
30004143,TX
30004143,TX
30004143,TX
30004143,TX
30004143,TX
30004153,CA
30004153,CA
30004154,CA
30004154,CA
30004156,CA
30004156,CA
30004156,CA
30004156,CA
30004156,CA
30004156,CA
30004158,TN
30004158,TN
30004159,CA
30004159,CA
30004159,CA
30004165,SC
30004165,SC
30004172,IA
30004172,IA
30004193,CA
30004193,CA
30004196,CA
30004199,TX
30004201,WI
30004211,MA
30004211,MA
30004215,GA
30004215,GA
30004218,NC
30004218,NC
30004220,KY
30004220,KY
30004220,KY
30004220,KY
30004225,TX
30004230,CA
30004239,CA
30004239,CA
30004250,GA
30004250,GA
30004251,SC
30004251,SC
30004263,TX
30004263,TX
30004277,CA
30004277,CA
30004279,TX
30004279,TX
30004285,WI
30004303,NC
30004303,NC
30004311,CA
30004311,CA
30004315,TX
30004319,TX
30004319,TX
30004320,TX
30004325,IA
30004328,TX
30004328,TX
30004345,NC
30004351,NY
30004351,NY
30004354,CA
30004354,CA
30004354,CA
30004354,CA
30004354,CA
30004374,GA
30004374,GA
30004374,GA
30004374,GA
30004379,SC
30004379,SC
30004379,SC
30004384,TX
30004404,CA
30004404,CA
30004404,CA
30004413,CA
30004413,CA
30004413,CA
30004413,CA
30004426,CA
30004426,CA
30004426,CA
30004426,CA
30004430,NY
30004430,NY
30004435,CA
30004435,CA
30004446,NY
30004446,NY
30004453,CA
30004461,TX
30004471,NC
30004471,NC
30004478,TX
30004478,TX
30004479,NY
30004479,NY
30004481,WI
30004481,WI
30004482,TX
30004482,TX
30004485,CA
30004485,CA
30004489,NC
30004489,NC
30004490,NY
30004490,NY
30004490,NY
30004492,CA
30004493,CA
30004493,CA
30004493,CA
30004493,CA
30004496,TX
30004496,TX
30004497,MD
30004504,CA
30004504,CA
30004504,CA
30004504,CA
30004508,TX
30004527,TX
30004527,TX
30004530,NC
30004535,NY
30004535,NY
30004554,WI
30004555,TN
30004555,TN
30004574,NY
30004574,NY
30004574,NY
30004578,SC
30004578,SC
30004578,SC
30004585,NY
30004593,TX
30004593,TX
30004597,CA
30004597,CA
30004610,CA
30004624,TX
30004624,TX
30004624,TX
30004634,NY
30004637,CA
30004637,CA
30004637,CA
30004637,CA
30004638,NC
30004638,NC
30004638,NC
30004643,CA
30004643,CA
30004647,CA
30004647,CA
30004647,CA
30004649,TX
30004649,TX
30004649,TX
30004660,TX
30004662,HI
30004662,HI
30004662,HI
30004674,WI
30004684,CA
30004684,CA
30004685,TX
30004688,IA
30004688,IA
30004704,TX
30004704,TX
30004714,WI
30004718,TX
30004718,TX
30004718,TX
30004718,TX
30004719,WI
30004719,WI
30004730,SC
30004735,CA
30004743,NC
30004743,NC
30004743,NC
30004744,CA
30004749,TX
30004757,CA
30004757,CA
30004758,WI
30004759,CA
30004759,CA
30004759,CA
30004764,WI
30004764,WI
30004764,WI
30004769,TX
30004769,TX
30004769,TX
30004784,CO
30004793,CA
30004800,NY
30004800,NY
30004801,NY
30004810,CA
30004820,IN
30004824,AZ
30004826,CA
30004830,CA
30004831,CO
30004831,CO
30004831,CO
30004831,CO
30004859,GA
30004859,GA
30004864,CA
30004864,CA
30004864,CA
30004875,TX
30004875,TX
30004875,TX
30004898,CA
30004898,CA
30004926,SC
30004926,SC
30004932,CA
30004932,CA
30004939,NY
30004939,NY
30004953,WI
30004953,WI
30004953,WI
30004953,WI
30004973,CA
30005002,NY
30005011,IA
30005011,IA
30005019,CA
30005024,NC
30005024,NC
30005025,AZ
30005025,AZ
30005044,IA
30005048,WI
30005048,WI
30005048,WI
30005067,NY
30005074,CA
30005082,CA
30005093,NY
30005093,NY
30005098,WI
30005102,AZ
30005102,AZ
30005102,AZ
30005102,AZ
30005102,AZ
30005115,CA
30005115,CA
30005115,CA
30005115,CA
30005115,CA
30005120,TX
30005120,TX
30005120,TX
30005134,CA
30005134,CA
30005134,CA
30005134,CA
30005150,GA
30005153,WI
30005155,CA
30005155,CA
30005155,CA
30005155,CA
30005155,CA
30005158,NY
30005162,GA
30005164,TX
30005164,TX
30005164,TX
30005182,SC
30005196,CA
30005196,CA
30005196,CA
30005196,CA
30005196,CA
30005199,NY
30005199,NY
30005199,NY
30005202,NY
30005204,GA
30005213,NC
30005213,NC
30005221,WI
30005225,AK
30005225,AK
30005232,NC
30005232,NC
30005238,MD
30005238,MD
30005268,NY
30005274,TX
30005274,TX
30005281,CA
30005281,CA
30005281,CA
30005283,NY
30005287,AZ
30005287,AZ
30005287,AZ
